repo,number,title,state,merged,created_at,relations,url,important,score,topics
erigontech/erigon,21797,[bloatnet] recsplit: enable sharded ShardedFuse by default,merged,True,2026-06-14,author,https://github.com/erigontech/erigon/pull/21797,1,3,Indexing & perfect hashing
erigontech/erigon,21796,[r3.5] db/recsplit: enable sharded FuseFilter by default,closed,False,2026-06-14,author,https://github.com/erigontech/erigon/pull/21796,1,3,Indexing & perfect hashing
erigontech/erigon,21794,btindex: interpolation search in BTree leaf,merged,True,2026-06-13,reviewed-by,https://github.com/erigontech/erigon/pull/21794,1,2,Indexing & perfect hashing
erigontech/erigon,21793,[3.6] recsplit: enable ShardedFuse by default,merged,True,2026-06-13,reviewed-by,https://github.com/erigontech/erigon/pull/21793,1,3,Indexing & perfect hashing
erigontech/erigon,21792,bloatnet: StorageDomain move existence filter to mmap+madv_will_need,merged,True,2026-06-13,author,https://github.com/erigontech/erigon/pull/21792,1,5,Storage engine (MDBX/LMDB); State / domains / commitment
erigontech/erigon,21791,commitment: remove unused bin_patricia_hashed implementation,merged,True,2026-06-13,reviewed-by,https://github.com/erigontech/erigon/pull/21791,1,7,Isolation & transactions; State / domains / commitment
erigontech/erigon,21790,[wip] [3.6] commitment: skip `GetLatest` for keys creation,merged,True,2026-06-13,author,https://github.com/erigontech/erigon/pull/21790,1,4,Isolation & transactions; State / domains / commitment
erigontech/erigon,21789,[bloatnet] commitment: for new branch nodes to skip `GetLatest` call ,merged,True,2026-06-13,author,https://github.com/erigontech/erigon/pull/21789,1,4,Isolation & transactions; State / domains / commitment
erigontech/erigon,21788,db/state: replace ExistenceFilterOnAppMemory with ExistenceFilterMode enum,merged,True,2026-06-13,author,https://github.com/erigontech/erigon/pull/21788,0,1,State / domains / commitment
erigontech/erigon,21787,bt: reduce ram,merged,True,2026-06-13,author,https://github.com/erigontech/erigon/pull/21787,0,0,
erigontech/erigon,21786,cl/sentinel: pass ctx through StartSentinelService → stickToPeers,merged,True,2026-06-13,author,https://github.com/erigontech/erigon/pull/21786,0,1,Isolation & transactions
erigontech/erigon,21785,existence filter: build speedup,merged,True,2026-06-13,author,https://github.com/erigontech/erigon/pull/21785,0,0,
erigontech/erigon,21784,rpc: eth_baseFee and eth_blobBaseFee return null for pre-fork chains,merged,True,2026-06-13,reviewed-by,https://github.com/erigontech/erigon/pull/21784,0,0,
erigontech/erigon,21783,bloatnet: reduce mem usage by .bt build,merged,True,2026-06-13,author,https://github.com/erigontech/erigon/pull/21783,0,0,
erigontech/erigon,21781,merge: less ram usage in .bt build and compression,merged,True,2026-06-13,author,https://github.com/erigontech/erigon/pull/21781,1,7,Snapshots / freezer / segments; Compression / encoding
erigontech/erigon,21780,db/state/statecfg: bump commitment domain kv/kvi to v2.1,merged,True,2026-06-13,author,https://github.com/erigontech/erigon/pull/21780,1,6,Isolation & transactions; State / domains / commitment
erigontech/erigon,21778,"btindex: add `M` to file, reduce RAM usage of `Build()`",merged,True,2026-06-13,author,https://github.com/erigontech/erigon/pull/21778,0,1,Indexing & perfect hashing
erigontech/erigon,21777,btindex: use off-heap EliasFano during build,merged,True,2026-06-13,author,https://github.com/erigontech/erigon/pull/21777,1,4,Indexing & perfect hashing
erigontech/erigon,21776,"domain: allow per-domain configuration of ""existence filter on mmap""",merged,True,2026-06-13,author,https://github.com/erigontech/erigon/pull/21776,1,4,Storage engine (MDBX/LMDB); State / domains / commitment
erigontech/erigon,21775,.claude: anchor the comment policy as a rule + advisory write-time hook,merged,True,2026-06-12,reviewed-by,https://github.com/erigontech/erigon/pull/21775,0,0,
erigontech/erigon,21773,[3.6] domain: existence filter to ShardedFuse,merged,True,2026-06-12,author+reviewed-by,https://github.com/erigontech/erigon/pull/21773,0,1,State / domains / commitment
erigontech/erigon,21772,docs: cross-link CLI Reference sections to their dedicated pages,merged,True,2026-06-12,reviewed-by,https://github.com/erigontech/erigon/pull/21772,0,1,Storage engine (MDBX/LMDB)
erigontech/erigon,21771,"tools, makefile, .github/workflows: extract only the shard's EEST fixture set",merged,True,2026-06-12,reviewed-by,https://github.com/erigontech/erigon/pull/21771,0,0,
erigontech/erigon,21770,cmd/utils/app: add --keep-blocks to seg step-rebase,merged,True,2026-06-12,reviewed-by,https://github.com/erigontech/erigon/pull/21770,0,0,
erigontech/erigon,21767,execution/execmodule: simplify FCU semaphore handoff,merged,True,2026-06-12,reviewed-by,https://github.com/erigontech/erigon/pull/21767,0,0,
erigontech/erigon,21766,docs: warn that `snapshots reset` is destructive (upgrading guide),merged,True,2026-06-12,reviewed-by,https://github.com/erigontech/erigon/pull/21766,1,2,Snapshots / freezer / segments
erigontech/erigon,21762,cmd/utils: fix db.read.concurrency help to match the actual default,merged,True,2026-06-12,reviewed-by,https://github.com/erigontech/erigon/pull/21762,0,0,
erigontech/erigon,21759,rpc: fix gasprice,merged,True,2026-06-11,reviewed-by,https://github.com/erigontech/erigon/pull/21759,0,0,
erigontech/erigon,21753,[r3.5] domain: existance filter madvise require page-aligned byte slice,merged,True,2026-06-11,author,https://github.com/erigontech/erigon/pull/21753,1,2,Storage engine (MDBX/LMDB); State / domains / commitment
erigontech/erigon,21746,domain existance filter: switch to ShardedFuse by default ,merged,True,2026-06-11,author,https://github.com/erigontech/erigon/pull/21746,0,1,State / domains / commitment
erigontech/erigon,21745,[r3.5] domain: existance filter madvise require page-aligned byte slice,closed,False,2026-06-11,author,https://github.com/erigontech/erigon/pull/21745,1,2,Storage engine (MDBX/LMDB); State / domains / commitment
erigontech/erigon,21744,[r3.6] domain: existance filter madvise require page-aligned byte slice,merged,True,2026-06-11,author,https://github.com/erigontech/erigon/pull/21744,1,2,Storage engine (MDBX/LMDB); State / domains / commitment
erigontech/erigon,21743,[bloatnet] domain: existance filter madvise require page-aligned byte slice,merged,True,2026-06-11,author,https://github.com/erigontech/erigon/pull/21743,1,2,Storage engine (MDBX/LMDB); State / domains / commitment
erigontech/erigon,21742,bloatnet: reduce word-level compress sampling,merged,True,2026-06-11,author,https://github.com/erigontech/erigon/pull/21742,1,3,Compression / encoding
erigontech/erigon,21740,[3.6] db: commitment domain to take existance filter to RAM,merged,True,2026-06-11,author,https://github.com/erigontech/erigon/pull/21740,1,5,Isolation & transactions; State / domains / commitment
erigontech/erigon,21738,[main] db: commitment domain to take existance filter to RAM,merged,True,2026-06-11,author,https://github.com/erigontech/erigon/pull/21738,1,5,Isolation & transactions; State / domains / commitment
erigontech/erigon,21737,[3.5] db: commitment domain to take existance filter to RAM,merged,True,2026-06-11,author,https://github.com/erigontech/erigon/pull/21737,1,5,Isolation & transactions; State / domains / commitment
erigontech/erigon,21721,[r3.5] commitment: fix warmuper arena data race in HashSort,merged,True,2026-06-10,reviewed-by,https://github.com/erigontech/erigon/pull/21721,1,4,Isolation & transactions; State / domains / commitment
erigontech/erigon,21706,execution/stagedsync: recover CodePath alongside CodeHashPath in parallel normalizeWriteSet,open,False,2026-06-09,reviewed-by,https://github.com/erigontech/erigon/pull/21706,1,6,Storage engine (MDBX/LMDB); ETL / staged sync / pruning
erigontech/erigon,21700,[r3.5] db/downloader: lock torrentsByName read in allActiveSnapshots,merged,True,2026-06-09,reviewed-by,https://github.com/erigontech/erigon/pull/21700,1,4,Snapshots / freezer / segments
erigontech/erigon,21696,db/downloader: lock torrentsByName read in allActiveSnapshots,merged,True,2026-06-09,reviewed-by,https://github.com/erigontech/erigon/pull/21696,1,4,Snapshots / freezer / segments
erigontech/erigon,21686,"cl, sentinel: quiet data column sidecar misses",merged,True,2026-06-09,reviewed-by,https://github.com/erigontech/erigon/pull/21686,0,0,
erigontech/erigon,21683,[r3.5] cmd/utils/app: fix publishable check failing on empty caplin state tables,merged,True,2026-06-09,reviewed-by,https://github.com/erigontech/erigon/pull/21683,0,1,State / domains / commitment
erigontech/erigon,21677,up minor deps for release/3.5,merged,True,2026-06-08,author,https://github.com/erigontech/erigon/pull/21677,0,0,
erigontech/erigon,21673,cmd/utils/app: fix publishable check failing on empty caplin state tables,merged,True,2026-06-08,reviewed-by,https://github.com/erigontech/erigon/pull/21673,0,1,State / domains / commitment
erigontech/erigon,21672,cmd/utils/app: fix publishable check failing on empty caplin state tables,merged,True,2026-06-08,reviewed-by,https://github.com/erigontech/erigon/pull/21672,0,1,State / domains / commitment
erigontech/erigon,21671,db/integrity: move StateProgress check to deprecated (#21596),merged,True,2026-06-08,reviewed-by,https://github.com/erigontech/erigon/pull/21671,0,1,State / domains / commitment
erigontech/erigon,21662,execution/stagedsync: fix receipt transaction index in serial execution,merged,True,2026-06-07,reviewed-by,https://github.com/erigontech/erigon/pull/21662,1,7,Storage engine (MDBX/LMDB); Isolation & transactions; Indexing & perfect hashing; ETL / staged sync / pruning
erigontech/erigon,21660,rpc: fix retention number as quantity,merged,True,2026-06-06,reviewed-by,https://github.com/erigontech/erigon/pull/21660,0,0,
erigontech/erigon,21657,rpc: fix debug_accountRange() start validation & remove incompletes validation,merged,True,2026-06-06,reviewed-by,https://github.com/erigontech/erigon/pull/21657,0,1,State / domains / commitment
erigontech/erigon,21652,"common, db: move murmur3 port to common/murmur3, use it everywhere",merged,True,2026-06-06,reviewed-by,https://github.com/erigontech/erigon/pull/21652,0,0,
erigontech/erigon,21648,"cmd/evm, test-fixtures: bump eest zkevm corpus to tests-zkevm@v0.4.1",merged,True,2026-06-05,reviewed-by,https://github.com/erigontech/erigon/pull/21648,0,0,
erigontech/erigon,21647,rpc: fix trace gaslimit override,merged,True,2026-06-05,reviewed-by,https://github.com/erigontech/erigon/pull/21647,0,0,
erigontech/erigon,21643,"ChangeLog: draft 3.5.0 ""Tidal Tails"" release notes",merged,True,2026-06-05,reviewed-by,https://github.com/erigontech/erigon/pull/21643,0,0,
erigontech/erigon,21640,tools: fail EEST spec shards on race-detector exit code 66,merged,True,2026-06-05,reviewed-by,https://github.com/erigontech/erigon/pull/21640,0,0,
erigontech/erigon,21631,[perf] execution: avoid unnecessary grpc hop for embedded txpool GetBlobs,merged,True,2026-06-05,reviewed-by,https://github.com/erigontech/erigon/pull/21631,0,0,
erigontech/erigon,21627,"db/state: persist domain file cache across rotxs, survive merges",open,False,2026-06-04,reviewed-by,https://github.com/erigontech/erigon/pull/21627,1,3,State / domains / commitment; Snapshots / freezer / segments
erigontech/erigon,21625,[wip] seg: 2-3x faster domain merge compression via Aho-Corasick matcher and cover-DP optimizations,open,False,2026-06-04,reviewed-by,https://github.com/erigontech/erigon/pull/21625,1,8,State / domains / commitment; Snapshots / freezer / segments; Compression / encoding
